Epoch,sequential,RelatedTo,MannerOf,MadeOf,AtLocation,PartOf,Antonym,NotHasProperty,IsA,Synonym,DistinctFrom,DerivedFrom,UsedFor,CausesDesire,MotivatedByGoal,Desires,Causes,SimilarTo,HasSubevent,HasLastSubevent,CapableOf,HasProperty,HasPrerequisite,HasContext,CreatedBy,NotDesires,HasA,Entails,ReceivesAction,FormOf,HasFirstSubevent,DefinedAs,LocatedNear,NotCapableOf,InstanceOf
1,1.0529440641403198,0.9591110348701477,1.0052911043167114,0.9415601491928101,1.0074313879013062,1.0449044704437256,0.9810270071029663,0.8805187940597534,1.024525761604309,1.0112476348876953,0.9162029027938843,0.9703126549720764,1.0307620763778687,1.0539379119873047,1.0503482818603516,1.0025365352630615,0.9042996168136597,0.9516109824180603,1.0343464612960815,0.8648214936256409,0.8977710604667664,0.9968893527984619,0.9797467589378357,1.0387409925460815,1.001084566116333,1.0332860946655273,0.8931517601013184,1.0847605466842651,0.8963691592216492,0.9493147134780884,1.0397696495056152,0.8985258936882019,0.7673707008361816,0.9172101020812988,1.0174192190170288
2,1.053288221359253,0.9590343236923218,1.005219578742981,0.9414962530136108,1.0073606967926025,1.0448217391967773,0.9809473156929016,0.8804500102996826,1.0244492292404175,1.0111773014068604,0.9161390662193298,0.970242440700531,1.030676007270813,1.0538585186004639,1.0502716302871704,1.002455472946167,0.90423184633255,0.9515476822853088,1.0342704057693481,0.8647508025169373,0.8977042436599731,0.9968233704566956,0.9796720147132874,1.0386605262756348,1.0010178089141846,1.0332132577896118,0.8930825591087341,1.0846751928329468,0.8963083624839783,0.9492391347885132,1.0396926403045654,0.8984590172767639,0.7673155069351196,0.9171522259712219,1.0173338651657104
3,1.0538091659545898,0.9589576721191406,1.00514817237854,0.9414324164390564,1.0072898864746094,1.044739007949829,0.9808676242828369,0.8803812861442566,1.0243725776672363,1.0111069679260254,0.9160752296447754,0.9701722860336304,1.0305899381637573,1.0537792444229126,1.0501948595046997,1.0023744106292725,0.9041641354560852,0.9514843225479126,1.0341944694519043,0.8646801114082336,0.8976374268531799,0.9967573881149292,0.979597270488739,1.038580060005188,1.0009510517120361,1.0331404209136963,0.8930133581161499,1.0845898389816284,0.8962476253509521,0.9491636157035828,1.039615511894226,0.8983920812606812,0.7672604322433472,0.9170942902565002,1.017248272895813
4,1.0538780689239502,0.9589109420776367,1.005104660987854,0.9413934946060181,1.0072468519210815,1.0446885824203491,0.9808191061019897,0.8803393840789795,1.0243260860443115,1.0110641717910767,0.9160363674163818,0.9701295495033264,1.030537486076355,1.0537309646606445,1.0501482486724854,1.0023249387741089,0.9041228294372559,0.9514456987380981,1.0341482162475586,0.8646370768547058,0.8975967168807983,0.9967172145843506,0.9795516729354858,1.038530945777893,1.0009104013442993,1.0330960750579834,0.8929712176322937,1.0845378637313843,0.8962106108665466,0.9491176009178162,1.0395686626434326,0.8983513712882996,0.7672268152236938,0.917059063911438,1.0171962976455688
5,1.0538287162780762,0.9589109420776367,1.005104660987854,0.9413934946060181,1.0072468519210815,1.0446885824203491,0.9808191061019897,0.8803393840789795,1.0243260860443115,1.0110641717910767,0.9160363674163818,0.9701295495033264,1.030537486076355,1.0537309646606445,1.0501482486724854,1.0023249387741089,0.9041228294372559,0.9514456987380981,1.0341482162475586,0.8646370768547058,0.8975967168807983,0.9967172145843506,0.9795516729354858,1.038530945777893,1.0009104013442993,1.0330960750579834,0.8929712176322937,1.0845378637313843,0.8962106108665466,0.9491176009178162,1.0395686626434326,0.8983513712882996,0.7672268152236938,0.917059063911438,1.0171962976455688
6,1.056130051612854,0.9589109420776367,1.005104660987854,0.9413934946060181,1.0072468519210815,1.0446885824203491,0.9808191061019897,0.8803393840789795,1.0243260860443115,1.0110641717910767,0.9160363674163818,0.9701295495033264,1.030537486076355,1.0537309646606445,1.0501482486724854,1.0023249387741089,0.9041228294372559,0.9514456987380981,1.0341482162475586,0.8646370768547058,0.8975967168807983,0.9967172145843506,0.9795516729354858,1.038530945777893,1.0009104013442993,1.0330960750579834,0.8929712176322937,1.0845378637313843,0.8962106108665466,0.9491176009178162,1.0395686626434326,0.8983513712882996,0.7672268152236938,0.917059063911438,1.0171962976455688
7,1.05668044090271,0.9589109420776367,1.005104660987854,0.9413934946060181,1.0072468519210815,1.0446885824203491,0.9808191061019897,0.8803393840789795,1.0243260860443115,1.0110641717910767,0.9160363674163818,0.9701295495033264,1.030537486076355,1.0537309646606445,1.0501482486724854,1.0023249387741089,0.9041228294372559,0.9514456987380981,1.0341482162475586,0.8646370768547058,0.8975967168807983,0.9967172145843506,0.9795516729354858,1.038530945777893,1.0009104013442993,1.0330960750579834,0.8929712176322937,1.0845378637313843,0.8962106108665466,0.9491176009178162,1.0395686626434326,0.8983513712882996,0.7672268152236938,0.917059063911438,1.0171962976455688
8,1.0566579103469849,0.9589109420776367,1.005104660987854,0.9413934946060181,1.0072468519210815,1.0446885824203491,0.9808191061019897,0.8803393840789795,1.0243260860443115,1.0110641717910767,0.9160363674163818,0.9701295495033264,1.030537486076355,1.0537309646606445,1.0501482486724854,1.0023249387741089,0.9041228294372559,0.9514456987380981,1.0341482162475586,0.8646370768547058,0.8975967168807983,0.9967172145843506,0.9795516729354858,1.038530945777893,1.0009104013442993,1.0330960750579834,0.8929712176322937,1.0845378637313843,0.8962106108665466,0.9491176009178162,1.0395686626434326,0.8983513712882996,0.7672268152236938,0.917059063911438,1.0171962976455688
9,1.0574592351913452,0.9589109420776367,1.005104660987854,0.9413934946060181,1.0072468519210815,1.0446885824203491,0.9808191061019897,0.8803393840789795,1.0243260860443115,1.0110641717910767,0.9160363674163818,0.9701295495033264,1.030537486076355,1.0537309646606445,1.0501482486724854,1.0023249387741089,0.9041228294372559,0.9514456987380981,1.0341482162475586,0.8646370768547058,0.8975967168807983,0.9967172145843506,0.9795516729354858,1.038530945777893,1.0009104013442993,1.0330960750579834,0.8929712176322937,1.0845378637313843,0.8962106108665466,0.9491176009178162,1.0395686626434326,0.8983513712882996,0.7672268152236938,0.917059063911438,1.0171962976455688
10,1.0577061176300049,0.9589109420776367,1.005104660987854,0.9413934946060181,1.0072468519210815,1.0446885824203491,0.9808191061019897,0.8803393840789795,1.0243260860443115,1.0110641717910767,0.9160363674163818,0.9701295495033264,1.030537486076355,1.0537309646606445,1.0501482486724854,1.0023249387741089,0.9041228294372559,0.9514456987380981,1.0341482162475586,0.8646370768547058,0.8975967168807983,0.9967172145843506,0.9795516729354858,1.038530945777893,1.0009104013442993,1.0330960750579834,0.8929712176322937,1.0845378637313843,0.8962106108665466,0.9491176009178162,1.0395686626434326,0.8983513712882996,0.7672268152236938,0.917059063911438,1.0171962976455688
