Epoch,sequential,RelatedTo,Synonym,Desires,HasContext,HasLastSubevent,UsedFor,MannerOf,PartOf,CausesDesire,IsA,FormOf,HasA,CapableOf,Antonym,DistinctFrom,HasPrerequisite,HasSubevent,HasFirstSubevent,AtLocation,MadeOf,DerivedFrom,CreatedBy,MotivatedByGoal,NotDesires,SimilarTo,Entails,Causes,HasProperty,ReceivesAction,NotCapableOf,LocatedNear,InstanceOf,NotHasProperty,DefinedAs,SymbolOf
1,1.0123916864395142,1.0226763486862183,0.8860002756118774,0.9465750455856323,0.9820933938026428,0.9760992527008057,0.9731277823448181,0.8783293962478638,1.0143660306930542,0.9796481132507324,0.9001794457435608,0.9783786535263062,1.033700704574585,0.9321886897087097,0.9562341570854187,0.8588073253631592,0.9468573331832886,1.034303069114685,1.133840799331665,0.9140899181365967,1.0207643508911133,0.9294489622116089,0.9672147631645203,1.0040254592895508,0.9423035383224487,0.9041164517402649,0.9098820686340332,1.0929255485534668,0.907930850982666,0.914480984210968,0.8286656737327576,0.7480998635292053,0.9823275208473206,0.8696345686912537,1.0539616346359253,0.9863319396972656
2,1.0145459175109863,1.0225974321365356,0.8859339952468872,0.9465024471282959,0.9820159077644348,0.9760302901268005,0.9730567932128906,0.8782708048820496,1.0142908096313477,0.979577362537384,0.9001121520996094,0.9783090949058533,1.0336241722106934,0.932120144367218,0.9561616778373718,0.8587436079978943,0.9467832446098328,1.034224271774292,1.1337521076202393,0.9140264987945557,1.0206807851791382,0.9293801784515381,0.9671396613121033,1.00394868850708,0.9422315359115601,0.9040549993515015,0.9098170399665833,1.0928454399108887,0.907865047454834,0.9144183993339539,0.8286027312278748,0.7480465769767761,0.9822530150413513,0.8695719242095947,1.0538804531097412,0.9862568378448486
3,1.013627529144287,1.022518515586853,0.8858677744865417,0.9464298486709595,0.981938362121582,0.9759612679481506,0.9729857444763184,0.8782121539115906,1.0142154693603516,0.9795065522193909,0.900044858455658,0.9782395958900452,1.0335477590560913,0.9320517182350159,0.956089198589325,0.8586798310279846,0.9467092156410217,1.0341455936431885,1.1336631774902344,0.9139631986618042,1.0205973386764526,0.9293113946914673,0.967064619064331,1.0038717985153198,0.9421594738960266,0.903993546962738,0.9097519516944885,1.0927653312683105,0.9077993631362915,0.9143557548522949,0.8285399079322815,0.7479932308197021,0.9821785092353821,0.869509220123291,1.0537992715835571,0.9861817359924316
4,1.0150542259216309,1.02243971824646,0.8858014941215515,0.946357250213623,0.981860876083374,0.9758923053741455,0.9729146361351013,0.8781535625457764,1.014140248298645,0.9794358015060425,0.8999775648117065,0.9781700372695923,1.0334712266921997,0.9319831728935242,0.9560167789459229,0.8586161136627197,0.9466350674629211,1.034066915512085,1.133574366569519,0.9138997793197632,1.0205137729644775,0.9292426109313965,0.9669894576072693,1.0037949085235596,0.9420874714851379,0.9039320945739746,0.9096869826316833,1.0926852226257324,0.9077336192131042,0.914293110370636,0.8284770250320435,0.7479400038719177,0.9821039438247681,0.8694465160369873,1.053718090057373,0.9861065745353699
5,1.0163675546646118,1.0223608016967773,0.8857352137565613,0.9462845921516418,0.9817834496498108,0.9758232831954956,0.972843587398529,0.8780949115753174,1.014065146446228,0.9793649911880493,0.8999102711677551,0.9781005382537842,1.033394694328308,0.931914746761322,0.9559443593025208,0.8585523962974548,0.9465609788894653,1.033988356590271,1.1334855556488037,0.9138364195823669,1.0204302072525024,0.9291738867759705,0.9669143557548523,1.0037181377410889,0.9420154094696045,0.903870701789856,0.9096219539642334,1.0926051139831543,0.9076678156852722,0.914230465888977,0.8284141421318054,0.7478867173194885,0.9820294380187988,0.8693837523460388,1.053636908531189,0.9860314130783081
6,1.0167516469955444,1.0223572254180908,0.8857321739196777,0.9462813138961792,0.9817798137664795,0.9758200645446777,0.9728403091430664,0.8780922293663025,1.014061689376831,0.9793617129325867,0.8999071717262268,0.9780972599983215,1.0333911180496216,0.9319115877151489,0.9559409618377686,0.8585494756698608,0.9465575814247131,1.033984661102295,1.133481502532959,0.9138334393501282,1.0204263925552368,0.9291706681251526,0.9669108986854553,1.0037145614624023,0.9420120716094971,0.9038678407669067,0.9096189141273499,1.0926014184951782,0.9076648354530334,0.9142276048660278,0.8284112811088562,0.747884213924408,0.9820259809494019,0.8693808913230896,1.053633213043213,0.9860279560089111
7,1.017827033996582,1.0223572254180908,0.8857321739196777,0.9462813138961792,0.9817798137664795,0.9758200645446777,0.9728403091430664,0.8780922293663025,1.014061689376831,0.9793617129325867,0.8999071717262268,0.9780972599983215,1.0333911180496216,0.9319115877151489,0.9559409618377686,0.8585494756698608,0.9465575814247131,1.033984661102295,1.133481502532959,0.9138334393501282,1.0204263925552368,0.9291706681251526,0.9669108986854553,1.0037145614624023,0.9420120716094971,0.9038678407669067,0.9096189141273499,1.0926014184951782,0.9076648354530334,0.9142276048660278,0.8284112811088562,0.747884213924408,0.9820259809494019,0.8693808913230896,1.053633213043213,0.9860279560089111
8,1.0185917615890503,1.0223572254180908,0.8857321739196777,0.9462813138961792,0.9817798137664795,0.9758200645446777,0.9728403091430664,0.8780922293663025,1.014061689376831,0.9793617129325867,0.8999071717262268,0.9780972599983215,1.0333911180496216,0.9319115877151489,0.9559409618377686,0.8585494756698608,0.9465575814247131,1.033984661102295,1.133481502532959,0.9138334393501282,1.0204263925552368,0.9291706681251526,0.9669108986854553,1.0037145614624023,0.9420120716094971,0.9038678407669067,0.9096189141273499,1.0926014184951782,0.9076648354530334,0.9142276048660278,0.8284112811088562,0.747884213924408,0.9820259809494019,0.8693808913230896,1.053633213043213,0.9860279560089111
9,1.0191878080368042,1.0223572254180908,0.8857321739196777,0.9462813138961792,0.9817798137664795,0.9758200645446777,0.9728403091430664,0.8780922293663025,1.014061689376831,0.9793617129325867,0.8999071717262268,0.9780972599983215,1.0333911180496216,0.9319115877151489,0.9559409618377686,0.8585494756698608,0.9465575814247131,1.033984661102295,1.133481502532959,0.9138334393501282,1.0204263925552368,0.9291706681251526,0.9669108986854553,1.0037145614624023,0.9420120716094971,0.9038678407669067,0.9096189141273499,1.0926014184951782,0.9076648354530334,0.9142276048660278,0.8284112811088562,0.747884213924408,0.9820259809494019,0.8693808913230896,1.053633213043213,0.9860279560089111
10,1.0193111896514893,1.0223572254180908,0.8857321739196777,0.9462813138961792,0.9817798137664795,0.9758200645446777,0.9728403091430664,0.8780922293663025,1.014061689376831,0.9793617129325867,0.8999071717262268,0.9780972599983215,1.0333911180496216,0.9319115877151489,0.9559409618377686,0.8585494756698608,0.9465575814247131,1.033984661102295,1.133481502532959,0.9138334393501282,1.0204263925552368,0.9291706681251526,0.9669108986854553,1.0037145614624023,0.9420120716094971,0.9038678407669067,0.9096189141273499,1.0926014184951782,0.9076648354530334,0.9142276048660278,0.8284112811088562,0.747884213924408,0.9820259809494019,0.8693808913230896,1.053633213043213,0.9860279560089111
