Epoch,sequential,RelatedTo,Synonym,Desires,HasContext,HasLastSubevent,UsedFor,MannerOf,PartOf,CausesDesire,IsA,FormOf,HasA,NotDesires,CapableOf,Antonym,DistinctFrom,HasPrerequisite,HasProperty,HasSubevent,HasFirstSubevent,AtLocation,MadeOf,DerivedFrom,CreatedBy,MotivatedByGoal,SimilarTo,NotHasProperty,Entails,Causes,ReceivesAction,LocatedNear,NotCapableOf,InstanceOf,DefinedAs,SymbolOf
1,0.7020860910415649,0.9480194449424744,0.7885101437568665,0.8348723649978638,0.8227197527885437,0.9498224854469299,0.8491003513336182,0.9947420954704285,0.941933274269104,0.9770145416259766,1.0281181335449219,1.1050156354904175,0.9236769676208496,0.8649255633354187,0.8061479926109314,1.0357991456985474,0.9492096900939941,0.938051700592041,1.048102617263794,0.8847832083702087,0.9773346185684204,1.0542998313903809,0.9658997058868408,1.0659419298171997,0.9766626954078674,0.8602767586708069,0.7952226996421814,1.014225959777832,0.9075242877006531,0.9455547332763672,0.8303006887435913,0.8437989354133606,0.85826575756073,0.9218434691429138,0.9883196949958801,0.8332165479660034
2,0.7048938274383545,0.94798743724823,0.7884804606437683,0.8348379135131836,0.8226869106292725,0.949790358543396,0.84907066822052,0.9947026371955872,0.9419006109237671,0.97697913646698,1.0280810594558716,1.104973554611206,0.923642635345459,0.8648945689201355,0.8061217665672302,1.0357613563537598,0.9491751790046692,0.9380187392234802,1.048063039779663,0.884752631187439,0.9772998094558716,1.0542627573013306,0.9658631086349487,1.0658999681472778,0.9766263365745544,0.8602465391159058,0.7951968908309937,1.0141875743865967,0.9074934124946594,0.9455220699310303,0.8302720785140991,0.8437672257423401,0.858235776424408,0.9218100905418396,0.9882819652557373,0.8331881165504456
3,0.7072380781173706,0.9479590058326721,0.7884541749954224,0.8348073959350586,0.8226577043533325,0.9497618079185486,0.8490443825721741,0.9946675300598145,0.9418716430664062,0.9769476652145386,1.028048038482666,1.104936122894287,0.9236121773719788,0.8648670315742493,0.806098461151123,1.035727858543396,0.9491444826126099,0.9379894733428955,1.0480279922485352,0.8847255110740662,0.977270245552063,1.054229736328125,0.9658305644989014,1.065862774848938,0.9765940308570862,0.8602197170257568,0.7951739430427551,1.0141533613204956,0.907465934753418,0.9454930424690247,0.83024662733078,0.8437390327453613,0.8582091927528381,0.9217804074287415,0.9882484078407288,0.8331629037857056
4,0.7080972790718079,0.9479590058326721,0.7884541749954224,0.8348073959350586,0.8226577043533325,0.9497618079185486,0.8490443825721741,0.9946675300598145,0.9418716430664062,0.9769476652145386,1.028048038482666,1.104936122894287,0.9236121773719788,0.8648670315742493,0.806098461151123,1.035727858543396,0.9491444826126099,0.9379894733428955,1.0480279922485352,0.8847255110740662,0.977270245552063,1.054229736328125,0.9658305644989014,1.065862774848938,0.9765940308570862,0.8602197170257568,0.7951739430427551,1.0141533613204956,0.907465934753418,0.9454930424690247,0.83024662733078,0.8437390327453613,0.8582091927528381,0.9217804074287415,0.9882484078407288,0.8331629037857056
5,0.7099948525428772,0.9479590058326721,0.7884541749954224,0.8348073959350586,0.8226577043533325,0.9497618079185486,0.8490443825721741,0.9946675300598145,0.9418716430664062,0.9769476652145386,1.028048038482666,1.104936122894287,0.9236121773719788,0.8648670315742493,0.806098461151123,1.035727858543396,0.9491444826126099,0.9379894733428955,1.0480279922485352,0.8847255110740662,0.977270245552063,1.054229736328125,0.9658305644989014,1.065862774848938,0.9765940308570862,0.8602197170257568,0.7951739430427551,1.0141533613204956,0.907465934753418,0.9454930424690247,0.83024662733078,0.8437390327453613,0.8582091927528381,0.9217804074287415,0.9882484078407288,0.8331629037857056
6,0.7111487984657288,0.9479590058326721,0.7884541749954224,0.8348073959350586,0.8226577043533325,0.9497618079185486,0.8490443825721741,0.9946675300598145,0.9418716430664062,0.9769476652145386,1.028048038482666,1.104936122894287,0.9236121773719788,0.8648670315742493,0.806098461151123,1.035727858543396,0.9491444826126099,0.9379894733428955,1.0480279922485352,0.8847255110740662,0.977270245552063,1.054229736328125,0.9658305644989014,1.065862774848938,0.9765940308570862,0.8602197170257568,0.7951739430427551,1.0141533613204956,0.907465934753418,0.9454930424690247,0.83024662733078,0.8437390327453613,0.8582091927528381,0.9217804074287415,0.9882484078407288,0.8331629037857056
7,0.7117243409156799,0.9479590058326721,0.7884541749954224,0.8348073959350586,0.8226577043533325,0.9497618079185486,0.8490443825721741,0.9946675300598145,0.9418716430664062,0.9769476652145386,1.028048038482666,1.104936122894287,0.9236121773719788,0.8648670315742493,0.806098461151123,1.035727858543396,0.9491444826126099,0.9379894733428955,1.0480279922485352,0.8847255110740662,0.977270245552063,1.054229736328125,0.9658305644989014,1.065862774848938,0.9765940308570862,0.8602197170257568,0.7951739430427551,1.0141533613204956,0.907465934753418,0.9454930424690247,0.83024662733078,0.8437390327453613,0.8582091927528381,0.9217804074287415,0.9882484078407288,0.8331629037857056
8,0.711905300617218,0.9479590058326721,0.7884541749954224,0.8348073959350586,0.8226577043533325,0.9497618079185486,0.8490443825721741,0.9946675300598145,0.9418716430664062,0.9769476652145386,1.028048038482666,1.104936122894287,0.9236121773719788,0.8648670315742493,0.806098461151123,1.035727858543396,0.9491444826126099,0.9379894733428955,1.0480279922485352,0.8847255110740662,0.977270245552063,1.054229736328125,0.9658305644989014,1.065862774848938,0.9765940308570862,0.8602197170257568,0.7951739430427551,1.0141533613204956,0.907465934753418,0.9454930424690247,0.83024662733078,0.8437390327453613,0.8582091927528381,0.9217804074287415,0.9882484078407288,0.8331629037857056
9,0.7121167182922363,0.9479590058326721,0.7884541749954224,0.8348073959350586,0.8226577043533325,0.9497618079185486,0.8490443825721741,0.9946675300598145,0.9418716430664062,0.9769476652145386,1.028048038482666,1.104936122894287,0.9236121773719788,0.8648670315742493,0.806098461151123,1.035727858543396,0.9491444826126099,0.9379894733428955,1.0480279922485352,0.8847255110740662,0.977270245552063,1.054229736328125,0.9658305644989014,1.065862774848938,0.9765940308570862,0.8602197170257568,0.7951739430427551,1.0141533613204956,0.907465934753418,0.9454930424690247,0.83024662733078,0.8437390327453613,0.8582091927528381,0.9217804074287415,0.9882484078407288,0.8331629037857056
10,0.7121975421905518,0.9479590058326721,0.7884541749954224,0.8348073959350586,0.8226577043533325,0.9497618079185486,0.8490443825721741,0.9946675300598145,0.9418716430664062,0.9769476652145386,1.028048038482666,1.104936122894287,0.9236121773719788,0.8648670315742493,0.806098461151123,1.035727858543396,0.9491444826126099,0.9379894733428955,1.0480279922485352,0.8847255110740662,0.977270245552063,1.054229736328125,0.9658305644989014,1.065862774848938,0.9765940308570862,0.8602197170257568,0.7951739430427551,1.0141533613204956,0.907465934753418,0.9454930424690247,0.83024662733078,0.8437390327453613,0.8582091927528381,0.9217804074287415,0.9882484078407288,0.8331629037857056
