Epoch,sequential,RelatedTo,MadeOf,AtLocation,PartOf,IsA,Synonym,DistinctFrom,UsedFor,DerivedFrom,Antonym,MotivatedByGoal,Desires,Causes,SimilarTo,HasContext,CreatedBy,NotDesires,CapableOf,HasA,MannerOf,FormOf,HasProperty,HasPrerequisite,HasSubevent,Entails,HasFirstSubevent,CausesDesire,LocatedNear,DefinedAs,ReceivesAction,InstanceOf,HasLastSubevent
1,0.9887010455131531,0.9387112855911255,0.9270519614219666,0.8982576727867126,1.0972206592559814,0.9545316696166992,0.9105472564697266,1.0675790309906006,1.009063482284546,1.0998858213424683,0.9584239721298218,0.942180871963501,1.0277462005615234,0.9200853109359741,0.8803133368492126,0.9169312715530396,0.931640625,0.8960725665092468,0.8148627281188965,1.0308243036270142,0.9757657051086426,0.925068199634552,1.0422409772872925,1.0320178270339966,1.0156590938568115,0.8533580899238586,1.0502337217330933,0.8982568383216858,1.0417166948318481,0.9724870324134827,0.9848576188087463,0.9022347927093506,1.0927188396453857
2,0.9851698875427246,0.9379091858863831,0.9262588024139404,0.897489607334137,1.0962826013565063,0.9537152051925659,0.9097679853439331,1.0666649341583252,1.0082001686096191,1.098944902420044,0.9576017260551453,0.941375195980072,1.026867389678955,0.9192971587181091,0.8795602321624756,0.916146993637085,0.93084317445755,0.8953055143356323,0.8141655325889587,1.0299433469772339,0.9749327301979065,0.9242760539054871,1.0413496494293213,1.0311356782913208,1.0147899389266968,0.8526270985603333,1.049333095550537,0.8974893689155579,1.0408262014389038,0.9716589450836182,0.984015703201294,0.9014630913734436,1.0917854309082031
3,0.9780195951461792,0.9369060397148132,0.9252687096595764,0.8965269327163696,1.0951124429702759,0.9526927471160889,0.9087924957275391,1.0655215978622437,1.0071189403533936,1.0977674722671509,0.9565746784210205,0.9403691291809082,1.0257718563079834,0.9183108806610107,0.8786191344261169,0.9151659607887268,0.9298492670059204,0.8943467140197754,0.8132990002632141,1.0288394689559937,0.9738883972167969,0.9232845306396484,1.0402352809906006,1.0300341844558716,1.0137057304382324,0.8517138957977295,1.0482083559036255,0.8965296745300293,1.0397109985351562,0.970625102519989,0.9829658269882202,0.9004976153373718,1.0906245708465576
4,0.9787307977676392,0.9360353350639343,0.924406886100769,0.8956978917121887,1.094098448753357,0.9518097043037415,0.9079511761665344,1.064534068107605,1.0061883926391602,1.0967481136322021,0.9556857347488403,0.9394978284835815,1.02482008934021,0.9174585938453674,0.877802312374115,0.9143161773681641,0.9289839267730713,0.8935170769691467,0.8125429749488831,1.0278877019882202,0.9729880094528198,0.9224287867546082,1.0392732620239258,1.029076099395752,1.0127636194229126,0.8509240746498108,1.0472313165664673,0.8956959843635559,1.0387502908706665,0.9697244167327881,0.9820536375045776,0.8996666669845581,1.089609146118164
5,0.9774059057235718,0.9353055953979492,0.9236835837364197,0.894997239112854,1.0932363271713257,0.9510624408721924,0.9072338342666626,1.0637009143829346,1.005400538444519,1.0958878993988037,0.9549331665039062,0.9387591481208801,1.0240193605422974,0.9167368412017822,0.8771166205406189,0.9136018753051758,0.9282547831535339,0.892813503742218,0.8119045495986938,1.0270766019821167,0.9722262620925903,0.9217031002044678,1.0384613275527954,1.0282676219940186,1.0119683742523193,0.8502508401870728,1.0464051961898804,0.8949952125549316,1.0379363298416138,0.9689692854881287,0.9812836647033691,0.8989627361297607,1.0887528657913208
6,0.9798182845115662,0.9347063899040222,0.9230934381484985,0.8944228887557983,1.092537522315979,0.9504566192626953,0.906652569770813,1.0630133152008057,1.0047504901885986,1.0951833724975586,0.954315721988678,0.9381570219993591,1.023360252380371,0.9161476492881775,0.8765540719032288,0.9130159020423889,0.9276647567749023,0.8922390341758728,0.8113858103752136,1.0264203548431396,0.9716078639030457,0.9211114645004272,1.0377963781356812,1.0276126861572266,1.011321783065796,0.8497089743614197,1.0457305908203125,0.8944248557090759,1.0372687578201294,0.968348503112793,0.9806526303291321,0.8983848094940186,1.0880564451217651
7,0.981587827205658,0.9342358708381653,0.9226278066635132,0.8939725160598755,1.0919933319091797,0.9499824047088623,0.9062004685401917,1.0624821186065674,1.0042527914047241,1.094641089439392,0.9538348913192749,0.9376909136772156,1.0228525400161743,0.9156871438026428,0.8761182427406311,0.9125545024871826,0.9272021651268005,0.8917924761772156,0.810982882976532,1.0259112119674683,0.9711233377456665,0.9206486940383911,1.0372732877731323,1.0270978212356567,1.0108205080032349,0.8492856025695801,1.0452055931091309,0.8939775824546814,1.0367519855499268,0.9678679704666138,0.9801677465438843,0.8979371786117554,1.0875128507614136
8,0.9819293022155762,0.9339033365249634,0.92230224609375,0.893654465675354,1.0916016101837158,0.9496437907218933,0.9058781266212463,1.062102198600769,1.0038989782333374,1.0942509174346924,0.9534873366355896,0.9373533725738525,1.0224883556365967,0.9153544306755066,0.8758043646812439,0.9122268557548523,0.9268690347671509,0.8914762735366821,0.8106920719146729,1.025543451309204,0.970775842666626,0.9203181266784668,1.0369008779525757,1.026733636856079,1.0104553699493408,0.8489828109741211,1.0448250770568848,0.8936572670936584,1.0363808870315552,0.967521071434021,0.979819655418396,0.8976160883903503,1.0871284008026123
9,0.984882116317749,0.9337005019187927,0.9221024513244629,0.8934578895568848,1.0913636684417725,0.9494383335113525,0.9056826829910278,1.0618704557418823,1.003679633140564,1.094012975692749,0.9532777070999146,0.9371544122695923,1.0222678184509277,0.9151550531387329,0.8756195306777954,0.9120296835899353,0.9266706705093384,0.891281247138977,0.8105139136314392,1.025320291519165,0.9705668091773987,0.920117199420929,1.0366746187210083,1.0265110731124878,1.0102369785308838,0.8487988114356995,1.0445985794067383,0.893464207649231,1.0361573696136475,0.9673183560371399,0.9796072840690613,0.8974239230155945,1.0868932008743286
10,0.9857296347618103,0.9336254000663757,0.9220272302627563,0.8933829665184021,1.091273546218872,0.9493609070777893,0.9056082963943481,1.061785340309143,1.003597378730774,1.0939204692840576,0.9532001614570618,0.9370806813240051,1.0221847295761108,0.9150803089141846,0.8755503296852112,0.9119567275047302,0.9265963435173035,0.89121013879776,0.8104510307312012,1.0252370834350586,0.9704884886741638,0.9200429916381836,1.0365900993347168,1.02642822265625,1.0101550817489624,0.8487330079078674,1.0445140600204468,0.8933917284011841,1.0360736846923828,0.9672433137893677,0.979526698589325,0.8973522186279297,1.0868059396743774
